Rank,FV,Name,Position,Age,Team,Trend,Variance,ETA
1,65,Roki Sasaki,SP,23.4,LAD,,High,2025
2,60,Roman Anthony,RF,20.9,BOS,,High,2026
3,60,Dylan Crews,CF,23.1,WSN,,Med,2025
4,60,Sebastian Walcott,SS,19.0,TEX,,High,2027
5,60,Samuel Basallo,C,20.6,BAL,,High,2026
6,60,Andrew Painter,SP,22.0,PHI,,High,2025
7,60,Kristian Campbell,2B,22.8,BOS,,High,2025
8,60,Dalton Rushing,C,24.1,LAD,,Low,2025
9,60,Jackson Jobe,SP,22.7,DET,,Med,2025
10,60,Carson Williams,SS,21.8,TBR,,High,2026
11,55,Drake Baldwin,C,24.0,ATL,,Med,2025
12,55,Matt Shaw,3B,23.4,CHC,,High,2025
13,55,Aidan Miller,SS,20.8,PHI,,High,2026
14,55,Chase Dollander,SP,23.4,COL,,Med,2026
15,55,Quinn Mathews,SP,24.5,STL,↑↑,Low,2025
16,55,Walker Jenkins,LF,20.1,MIN,,Med,2026
17,55,Bubba Chandler,SP,22.5,PIT,,High,2025
18,55,Brandon Sproat,SP,24.5,NYM,,Med,2025
19,55,Jordan Lawlar,SS,22.7,ARI,,Med,2025
20,55,Emmanuel Rodriguez,CF,22.1,MIN,,Med,2025
21,55,Ethan Salas,C,18.8,SDP,,Med,2026
22,55,Jarlin Susana,SP,21.0,WSN,,High,2026
23,55,Noah Schultz,SP,21.6,CHW,,High,2026
24,55,Jasson Domínguez,LF,22.1,NYY,,Med,2025
25,55,Nick Kurtz,1B,22.0,ATH,↑↑,Med,2025
26,55,Bryce Eldridge,1B,20.4,SFG,,High,2026
27,55,Chase Burns,SP,22.2,CIN,,High,2025
28,55,Jacob Misiorowski,SP,23.0,MIL,,High,2026
29,55,Alfredo Duno,C,19.2,CIN,,High,2028
30,50,Marcelo Mayer,SS,22.3,BOS,,High,2026
31,50,Colt Emerson,SS,19.7,SEA,,Med,2027
32,50,Angel Genao,SS,20.9,CLE,,High,2027
33,50,Max Clark,CF,20.3,DET,,Med,2027
34,50,Kevin McGonigle,SS,20.6,DET,↑,Low,2026
35,50,Leo De Vries,SS,18.5,SDP,,High,2027
36,50,George Lombard Jr.,SS,19.8,NYY,↑↑,High,2027
37,50,Jesús Made,2B,17.9,MIL,,Med,2028
38,50,Travis Bazzana,2B,22.6,CLE,,Low,2025
39,50,Adrian Del Castillo,C,25.5,ARI,,Med,2025
40,50,Agustin Ramírez,C,23.6,MIA,,High,2025
41,50,Thayron Liranzo,C,21.7,DET,,High,2027
42,50,Kevin Alcántara,CF,22.7,CHC,,High,2025
43,50,Jac Caglianone,RF,22.1,KCR,,High,2026
44,50,Cam Smith,3B,22.1,HOU,↑,High,2027
45,50,AJ Smith-Shawver,SP,22.4,ATL,,High,2025
46,50,Chase Petty,SP,22.0,CIN,,High,2025
47,50,Chase DeLauter,RF,23.5,CLE,,Med,2025
48,50,Coby Mayo,1B,23.3,BAL,,High,2025
49,50,Zyhir Hope,RF,20.2,LAD,↑↑,High,2028
50,50,Kyle Teel,C,23.1,CHW,,Low,2026
51,50,Luke Keaschall,CF,22.6,MIN,,High,2027
52,50,Josue Briceño,C,20.5,DET,,High,2027
53,50,Jackson Ferris,SP,21.2,LAD,↑↑,High,2027
54,50,Hagen Smith,SP,21.6,CHW,↓↓,Med,2025
55,50,Thomas White,SP,20.5,MIA,,High,2027
56,50,Jacob Wilson,SS,23.0,ATH,,Med,2025
57,50,Cooper Ingle,C,23.1,CLE,,Med,2027
58,50,JJ Wetherholt,SS,22.6,STL,,Low,2026
59,50,Jake Bloss,SP,23.8,TOR,,Low,2025
60,50,Parker Messick,SP,24.4,CLE,,Low,2026
61,50,Rhett Lowder,SP,23.1,CIN,,Low,2025
62,50,Will Warren,SP,25.8,NYY,,Low,2025
63,50,Richard Fitts,SP,25.3,BOS,↑↑,Low,2025
64,50,Cade Horton,SP,23.6,CHC,,High,2025
65,50,Joe Mack,C,22.3,MIA,,High,2026
66,50,Alex Freeland,SS,23.6,LAD,↓,Low,2025
67,50,Colson Montgomery,SS,23.1,CHW,,High,2025
68,50,Carter Jensen,C,21.7,KCR,,High,2027
69,50,Jefferson Rojas,SS,19.9,CHC,,Med,2027
70,50,Arjun Nimmala,SS,19.5,TOR,,High,2028
71,50,Konnor Griffin,CF,18.9,PIT,↑↑,High,2028
72,50,Josue De Paula,LF,19.8,LAD,↓,Med,2027
73,50,Felnin Celesten,2B,19.5,SEA,,High,2029
74,50,Kumar Rocker,SP,25.4,TEX,,High,2025
75,50,Yoniel Curet,SP,22.4,TBR,,High,2025
76,50,Caden Dana,SP,21.3,LAA,↓↓,Med,2025
77,50,Chandler Simpson,CF,24.4,TBR,,Med,2025
78,50,Jurrangelo Cijntje,SP,21.8,SEA,↑↑,Med,2026
79,50,Welbyn Francisca,SS,18.9,CLE,↑,High,2029
80,50,Grant Taylor,SP,22.9,CHW,,Low,2026
81,50,Brody Hopkins,SP,23.2,TBR,,High,2026
82,50,Alan Roden,LF,25.3,TOR,↑↑,Med,2027
83,50,Edgar Quero,C,22.0,CHW,,Low,2025
84,50,Juan Brito,2B,23.5,CLE,,Med,2025
85,50,Cole Young,SS,21.7,SEA,,Low,2025
86,50,Braxton Ashcraft,SP,25.5,PIT,,Med,2025
87,50,Gunnar Hoglund,SP,25.3,ATH,↑↑,Med,2025
88,50,Logan Henderson,SP,23.1,MIL,↑↑,High,2025
89,50,Troy Melton,SP,24.3,DET,,Med,2026
90,50,Jonah Tong,SP,21.8,NYM,↑↑,Med,2027
91,50,Jedixson Paez,SP,21.2,BOS,,Low,2026
92,50,Jimmy Crooks,C,23.7,STL,,Med,2026
93,50,Tre’ Morgan,1B,22.7,TBR,,Low,2026
94,50,Starlyn Caba,SS,19.3,MIA,,Med,2028
95,50,George Klassen,SP,23.2,LAA,,High,2025
96,50,Yilber Diaz,SP,24.6,ARI,,High,2025
97,50,Moisés Chace,SP,21.8,PHI,↓,High,2025
98,50,Carson Whisenhunt,SP,24.4,SFG,,Med,2025
99,50,Luis Morales,SP,22.5,ATH,,High,2027
100,50,Tai Peete,CF,19.6,SEA,,High,2028
101,50,Jett Williams,CF,21.4,NYM,,High,2026
102,50,Jaison Chourio,CF,19.9,CLE,↑↑,Med,2027
103,50,Luis Mey,SIRP,23.8,CIN,↑↑,High,2025
104,50,Xavier Isaac,1B,21.3,TBR,,High,2026
105,50,Noble Meyer,SP,20.2,MIA,,High,2027
106,50,Jeferson Quero,C,22.5,MIL,,High,2025
107,50,Jonny Farmelo,CF,20.6,SEA,,High,2028
108,50,Travis Sykora,SP,20.9,WSN,,High,2027
109,50,Chayce McDermott,SP,26.6,BAL,,High,2025
110,50,Tink Hence,SP,22.6,STL,,High,2025
111,50,Edgardo Henriquez,SIRP,22.8,LAD,,High,2025
112,50,Ricky Tiedemann,SP,22.6,TOR,,High,2026
113,50,River Ryan,SP,26.6,LAD,,Med,2026
114,50,Alejandro Rosario,SP,23.2,TEX,,High,2026