Rank,Name,Team,Age,Highest Level,Position,ETA,FV
1,Roki Sasaki,LAD,23.2,R,SP,2025,65
2,Roman Anthony,BOS,20.8,AAA,RF,2026,60
3,Dylan Crews,WSN,23.0,MLB,CF,2025,60
4,Sebastian Walcott,TEX,18.9,AA,SS,2027,60
5,Samuel Basallo,BAL,20.5,AAA,C,2026,60
6,Andrew Painter,PHI,21.9,AA,SP,2025,60
7,Kristian Campbell,BOS,22.6,AAA,2B,2026,60
8,Dalton Rushing,LAD,24.0,AAA,C,2025,60
9,Jackson Jobe,DET,22.5,MLB,SP,2025,60
10,Carson Williams,TBR,21.6,AAA,SS,2026,60
11,Drake Baldwin,ATL,23.9,AAA,C,2025,55
12,Chase Dollander,COL,23.3,AA,SP,2026,55
13,Matt Shaw,CHC,23.3,AAA,3B,2025,55
14,Jordan Lawlar,ARI,22.6,MLB,SS,2025,55
15,Aidan Miller,PHI,20.7,AA,SS,2026,55
16,Jasson Domínguez,NYY,22.0,MLB,LF,2025,55
17,Walker Jenkins,MIN,20.0,AA,LF,2026,55
18,Noah Schultz,CHW,21.5,AA,SP,2026,55
19,Jarlin Susana,WSN,20.9,A+,SP,2026,55
20,Emmanuel Rodriguez,MIN,22.0,AAA,CF,2025,55
21,Ethan Salas,SDP,18.7,AA,C,2026,55
22,Hagen Smith,CHW,21.5,A+,SP,2025,55
23,Bubba Chandler,PIT,22.4,AAA,SP,2025,55
24,Brandon Sproat,NYM,24.4,AAA,SP,2025,55
25,Caden Dana,LAA,21.2,MLB,SP,2025,55
26,Bryce Eldridge,SFG,20.3,AAA,1B,2026,55
27,Jacob Misiorowski,MIL,22.9,AAA,SP,2026,55
28,Chase Burns,CIN,22.1,R,SP,2025,55
29,Alfredo Duno,CIN,19.1,A,C,2028,55
30,Adrian Del Castillo,ARI,25.4,MLB,C,2025,50
31,Nick Kurtz,ATH,21.9,AA,1B,2026,50
32,Quinn Mathews,STL,24.4,AAA,SP,2025,50
33,Angel Genao,CLE,20.7,A+,2B,2027,50
34,Max Clark,DET,20.2,A+,CF,2027,50
35,Alex Freeland,LAD,23.5,AAA,SS,2025,50
36,Travis Bazzana,CLE,22.5,A+,2B,2025,50
37,Leodalis De Vries,SDP,18.4,A,SS,2028,50
38,Jesus Made,MIL,17.8,R,2B,2029,50
39,Alejandro Rosario,TEX,23.1,A+,SP,2026,50
40,AJ Smith-Shawver,ATL,22.2,MLB,SP,2025,50
41,Colt Emerson,SEA,19.6,A+,3B,2027,50
42,Chase Petty,CIN,21.9,AAA,SP,2025,50
43,Agustin Ramirez,MIA,23.4,AAA,C,2025,50
44,Thayron Liranzo,DET,21.6,A+,C,2027,50
45,Coby Mayo,BAL,23.2,MLB,1B,2025,50
46,Kevin Alcántara,CHC,22.6,MLB,CF,2025,50
47,Jac Caglianone,KCR,22.0,A+,RF,2026,50
48,Josue De Paula,LAD,19.7,A+,LF,2027,50
49,Kyle Teel,CHW,23.0,AAA,C,2026,50
50,Josue Briceño,DET,20.4,A,C,2027,50
51,Rhett Lowder,CIN,22.9,MLB,SP,2025,50
52,Jacob Wilson,ATH,22.9,MLB,SS,2025,50
53,Cooper Ingle,CLE,23.0,AA,C,2027,50
54,Kevin McGonigle,DET,20.5,A+,SS,2026,50
55,Chase DeLauter,CLE,23.4,AAA,RF,2025,50
56,Luke Keaschall,MIN,22.5,AA,CF,2027,50
57,Marcelo Mayer,BOS,22.2,AA,SS,2026,50
58,Colson Montgomery,CHW,23.0,AAA,SS,2025,50
59,Kumar Rocker,TEX,25.2,MLB,SP,2025,50
60,Braxton Ashcraft,PIT,25.4,AAA,SP,2025,50
61,Yoniel Curet,TBR,22.3,AA,SP,2025,50
62,Jett Williams,NYM,21.3,AAA,CF,2026,50
63,JJ Wetherholt,STL,22.4,A,SS,2026,50
64,Tink Hence,STL,22.5,AA,SP,2025,50
65,Will Warren,NYY,25.7,MLB,SP,2025,50
66,Jake Bloss,TOR,23.7,MLB,SP,2026,50
67,Parker Messick,CLE,24.3,AA,SP,2026,50
68,Carter Jensen,KCR,21.6,AA,C,2027,50
69,Joe Mack,MIA,22.1,AA,C,2026,50
70,Cam Smith,HOU,22.0,AA,3B,2027,50
71,Chayce McDermott,BAL,26.5,MLB,SP,2025,50
72,Chandler Simpson,TBR,24.2,AA,CF,2025,50
73,Yilber Diaz,ARI,24.5,MLB,SP,2025,50
74,Moisés Chace,PHI,21.7,AA,SP,2025,50
75,Brody Hopkins,TBR,23.1,A+,SP,2026,50
76,Cole Young,SEA,21.6,AA,SS,2025,50
77,Jimmy Crooks,STL,23.6,AAA,C,2026,50
78,Juan Brito,CLE,23.4,AAA,2B,2025,50
79,Cade Horton,CHC,23.5,AAA,SP,2025,50
80,Troy Melton,DET,24.2,AA,SP,2026,50
81,Jefferson Rojas,CHC,19.8,A+,SS,2027,50
82,Arjun Nimmala,TOR,19.3,A,SS,2028,50
83,Thomas White,MIA,20.4,A+,SP,2027,50
84,Travis Sykora,WSN,20.8,A,SP,2027,50
85,Felnin Celesten,SEA,19.4,R,2B,2029,50
86,Tre’ Morgan,TBR,22.6,AA,1B,2026,50
87,Starlyn Caba,MIA,19.2,A,SS,2028,50
88,Welbyn Francisca,CLE,18.8,A,2B,2029,50
89,Jedixson Paez,BOS,21.1,A+,SP,2026,50
90,Edgar Quero,CHW,21.9,AAA,C,2025,50
91,Edgardo Henriquez,LAD,22.6,MLB,SIRP,2025,50
92,Tai Peete,SEA,19.5,A,CF,2028,50
93,George Klassen,LAA,23.1,AA,SP,2025,50
94,Grant Taylor,CHW,22.7,A,SP,2026,50
95,Carson Whisenhunt,SFG,24.3,AAA,SP,2025,50
96,Luis Morales,ATH,22.4,A+,SP,2027,50
97,Noble Meyer,MIA,20.1,A+,SP,2027,50
98,Xavier Isaac,TBR,21.2,AA,1B,2026,50
99,Jeferson Quero,MIL,22.4,AAA,C,2025,50
100,Jonny Farmelo,SEA,20.4,A,CF,2028,50
101,River Ryan,LAD,26.5,MLB,SP,2026,50
102,Ricky Tiedemann,TOR,22.5,AAA,SP,2026,50